id,price,latitude,longitude,ln_price,f_property_type,f_room_type,f_neighbourhood_cleansed,n_accommodates,n_bedrooms,n_beds,n_bathrooms,n_number_of_reviews,n_reviews_per_month,n_review_scores_rating,n_minimum_nights,n_availability_365,n_host_listings_count,p_host_response_rate,d_host_is_superhost,d_instant_bookable,d_host_identity_verified,n_days_since,d_wifi,d_airconditioning,d_heating,d_kitchen,d_washer,d_dryer,d_tv,d_hairdryer,d_iron,d_elevator,d_freeparking,d_pool,d_dishesandsilverware,d_hottub,d_gym,d_selfcheckin,d_smokingallowed,d_petsallowed,d_hotwater,d_coffeemaker,d_dishwasher,d_microwave,d_refrigerator,d_balcony,d_fireextinguisher,d_smokealarm,d_carbonmonoxidealarm,d_dedicatedworkspace,d_essentials,d_hangers,d_bedlinens,n_amenities_count,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_host_response_rate,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
1025524923349081501,97.0,39.45710959722,-0.35818158273392,4.574710978503383,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,2.0,0.0,1.0,1.0,16.0,1.24,4.94,1.0,131.0,98.0,100.0,0,0,1,385.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,39,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,2.833213344056216,1,2,1,0,0,0,0,5.955837369464831,35.47199877151376,211.2654558529922,1.599387576580599
808698158667573533,110.0,39.45531,-0.36705,4.700480365792417,Apartment,Entire home/apt,EN CORTS,4.0,1.0,2.0,1.0,20.0,0.78,4.7,1.0,341.0,98.0,100.0,0,0,1,769.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,34,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.044522437723423,1,2,1,0,0,0,0,6.646390514847729,44.174506875857865,293.6010234977775,1.5496879080283263
974658996116053548,159.0,39.45721935668698,-0.3583183753936758,5.0689042022202315,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,4.0,1.0,2.0,1.0,3.0,0.17,4.67,1.0,138.0,98.0,100.0,0,0,1,524.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,38,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.3862943611198906,1,1,1,0,0,0,0,6.263398262591624,39.230157795835765,245.714102179633,1.5432981099295553
984891949901896805,182.0,39.45801971749529,-0.3593920574779164,5.204006687076795,Apartment,Entire home/apt,NA ROVELLA,4.0,1.0,2.0,1.0,3.0,0.19,4.67,1.0,115.0,98.0,100.0,0,0,1,476.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,39,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.3862943611198906,1,1,1,0,0,0,0,6.1675164908883415,38.03825966537964,234.6015937709218,1.5432981099295553
1181888282440381861,115.0,39.47387,-0.32847,4.74493212836325,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,4.0,2.0,3.0,1.0,3.0,0.34,5.0,1.0,341.0,98.0,100.0,0,1,1,261.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,38,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,1.3862943611198906,1,1,1,0,0,0,0,5.568344503761097,31.006460512566413,172.65465397623467,1.6114359150967734
1031222329957900815,148.0,39.4736575,-0.3286672,4.997212273764115,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,4.0,1.0,2.0,1.0,24.0,1.56,5.0,1.0,319.0,98.0,100.0,0,0,1,462.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,33,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.2188758248682006,1,2,1,0,0,0,0,6.137727054086234,37.67169339046208,231.21857169588068,1.6114359150967734
1010165849614868281,103.0,39.457165512441,-0.35820840482407,4.634728988229636,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,2.0,0.0,1.0,1.0,3.0,0.19,4.67,1.0,137.0,98.0,100.0,0,0,1,467.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,36,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,1.3862943611198906,1,1,1,0,0,0,0,6.148468295917647,37.80366238590445,232.43461964930802,1.5432981099295553
986235677861363919,114.0,39.457180008973,-0.3581601250618,4.736198448394496,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,2.0,0.0,1.0,1.0,6.0,0.38,4.33,1.0,133.0,98.0,100.0,0,0,1,472.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,39,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,1.9459101490553132,1,1,1,0,0,0,0,6.159095388491933,37.93445600454259,233.64193304252836,1.4678743481123135
695550552069138026,163.0,39.46357,-0.35842,5.093750200806762,Apartment,Entire home/apt,PENYA-ROJA,4.0,1.0,2.0,2.0,43.0,1.39,4.86,1.0,344.0,98.0,100.0,0,0,1,924.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,31,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.784189633918261,2,2,1,0,0,0,0,6.829793737512425,46.646082496963935,318.58312211725223,1.5830939370944985
1025954031954023044,129.0,39.45808056990296,-0.3579510539859517,4.859812404361672,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,4.0,1.0,2.0,1.0,25.0,1.71,4.64,1.0,135.0,98.0,100.0,0,0,1,438.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,39,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.258096538021482,1,2,1,0,0,0,0,6.0844994130751715,37.0211331077121,225.25506266525213,1.5368672195992648
